word	valence	arousal	dominance
cigarette	2.46	5.35	4.54
cinema	7.86	6.18	6.14
circle	5.67	3.86	5.03
circus	7.30	5.97	5.39
city	6.03	5.24	5.74
clan	4.93	5.00	5.04
clarinet	5.70	4.47	5.43
class	4.37	3.93	4.80
clause	4.93	4.20	4.40
claw	4.23	4.81	4.69
clay	5.33	3.83	5.50
clean	7.23	4.80	6.90
cleavage	6.33	5.53	6.03
cleft	4.13	3.93	4.67
clench	4.43	5.63	4.37
cliff	4.67	6.25	4.35
cliffdiver	5.80	5.93	5.20
climax	6.93	7.18	5.86
cling	4.52	4.23	4.77
clinic	4.72	4.81	4.19
clock	5.14	4.02	4.67
closet	5.21	4.57	5.82
clot	3.13	4.70	3.66
cloth	5.27	3.55	5.14
clothe	5.97	4.60	5.80
clothes	6.66	5.86	6.52
clothing	6.54	4.78	5.33
clouds	6.18	3.30	5.22
clown	5.39	5.43	4.86
clue	5.57	5.52	5.03
clumsy	4.00	5.18	3.86
coach	6.21	5.59	4.83
coarse	4.55	4.21	5.00
coast	5.98	4.59	5.67
coax	4.76	4.83	5.17
cocaine	3.37	4.93	4.70
cockpit	6.31	5.53	4.78
cockroach	2.81	6.11	4.74
cocoa	7.28	5.54	6.04
cod	4.95	4.05	5.13
coddle	4.81	4.43	5.07
coffin	2.56	5.03	4.08
cognition	5.57	4.59	5.56
coin	6.02	4.29	5.66
cold	4.02	5.19	4.69
colony	5.28	4.86	5.57
color	7.02	4.73	6.17
column	5.17	3.62	4.81
comedy	8.37	5.85	5.44
comet	6.23	5.97	4.30
comfort	7.07	3.93	5.70
comfortable	8.07	3.59	6.70
command	4.57	5.64	4.25
communism	2.80	5.55	3.07
compel	4.97	5.43	5.53
competent	7.07	5.34	6.72
complete	8.17	5.75	7.36
complex	5.25	5.62	5.34
compulsive	4.14	5.70	4.04
computer	6.24	4.75	5.29
concentrate	5.20	4.65	4.97
concerned	4.06	5.55	4.45
concert	7.66	7.32	5.71
concrete	5.32	4.03	5.77
condom	6.30	6.43	6.30
confident	7.98	6.22	7.68
confused	3.21	6.03	4.24
confusion	3.46	6.07	3.04
conquer	6.86	6.79	7.25
conquest	5.85	6.50	5.73
consoled	5.78	4.53	4.44
constructive	6.13	5.13	5.83
contempt	3.85	5.28	5.13
contents	4.89	4.32	4.85
context	5.20	4.22	5.17
continuation	5.70	4.93	5.13
control	6.46	5.93	6.79
controlling	3.80	6.10	5.17
convey	5.61	4.64	5.75
cook	6.16	4.44	5.14
cookie	7.60	5.43	6.17
cookout	7.31	6.14	5.97
cool	6.83	4.17	5.97
cope	4.60	4.66	4.76
copper	5.35	3.61	5.29
cord	5.10	3.54	5.00
core	4.80	4.18	5.50
cork	5.22	3.80	4.98
corn	6.00	4.57	5.71
corner	4.36	3.91	4.12
corpse	2.18	4.74	3.59
corridor	4.88	3.63	5.00
corrupt	3.32	4.67	4.64
costume	7.34	6.00	6.86
cottage	6.45	3.39	5.39
couch	6.78	4.03	5.83
counselor	4.68	4.54	4.07
country	5.93	5.26	5.96
couple	7.41	6.39	6.02
coupon	6.43	5.10	5.83
court	3.44	5.67	3.56
courtyard	5.75	4.00	5.30
cousin	6.32	4.87	5.13
cow	5.57	3.49	5.32
coward	2.74	4.07	2.83
cowboy	6.48	5.75	5.71
coyote	4.86	5.19	3.93
cozy	7.39	3.32	4.89
crab	5.28	4.72	5.45
crackers	5.80	4.47	5.50
craft	6.54	4.70	5.33
cram	3.16	6.40	3.97
cranky	2.90	5.36	4.39
crash	2.31	6.95	3.44
crave	4.88	6.13	3.97
crazy	5.93	6.28	5.13
create	6.79	5.75	5.89
creek	6.55	4.62	5.17
crime	2.89	5.41	4.12
criminal	2.93	4.79	3.34
cripple	2.89	5.14	3.64
crisis	2.74	5.44	3.60
critic	3.04	5.67	3.26
criticism	2.75	6.18	3.11
critique	4.39	5.37	4.07
crocodile	5.00	6.03	4.17
crossword	5.44	3.96	5.37
crowd	4.93	5.30	3.87
crown	6.58	4.28	6.06
crucify	2.23	6.47	3.74
crude	3.12	5.07	4.27
cruel	1.97	5.68	4.24
cruise	7.17	5.83	5.63
cruiseship	7.66	6.76	5.31
crumbs	4.27	4.50	5.31
crunch	5.83	5.37	5.57
crush	5.90	6.70	4.47
crushed	2.21	5.52	3.36
crutch	3.43	4.14	3.91
cuddle	7.72	4.40	5.85
cuisine	6.64	4.39	5.41
cult	2.48	6.15	3.44
culture	5.90	4.90	5.57
cup	5.44	3.70	5.63
cupboard	4.79	3.83	4.90
cupcake	7.20	5.93	5.67
cure	8.18	6.57	6.04
curious	6.08	5.82	5.42
curtains	4.83	3.67	5.05
curve	5.54	5.07	5.19
custom	5.85	4.66	5.00
cut	3.64	5.00	4.70
cute	7.62	5.53	4.86
cyclone	3.60	6.36	4.89
dagger	3.38	6.14	4.52
daisy	7.48	3.96	5.33
damage	3.05	5.57	3.88
damn	4.52	5.43	5.18
damp	3.68	4.07	4.44
dance	7.38	6.71	6.04
dancer	7.14	6.00	6.02
danger	2.95	7.32	3.59
dare	5.76	6.57	5.00
dark	4.71	4.28	4.84
daughter	6.36	5.11	5.68
dawn	6.16	4.39	5.16
day	6.66	5.00	5.88
daylight	6.80	4.77	5.48
daze	5.04	4.00	4.59
dazzle	7.29	6.33	5.62
dead	1.94	5.73	2.84
deadly	2.73	6.62	3.46
death	1.61	4.59	3.47
debt	2.22	5.68	3.02
decapitate	2.45	6.41	3.28
decay	2.68	4.44	3.63
deceit	2.90	5.68	3.95
decency	5.83	4.50	5.70
decompose	3.20	4.65	4.02
decorate	6.93	5.14	6.05
deed	5.85	5.15	5.73
defeat	2.97	5.63	3.60
defeated	2.34	5.09	3.11
defecate	3.33	5.14	4.77
defend	6.07	5.97	6.27
defer	4.10	4.48	4.76
defiant	4.26	6.10	5.77
